ISSN	Titulo	Estrato	
0717-5248	Revista de Historia Social y de Las Mentalidades	A4
2445-0057	Revista de Historiografía	A2
2175-3105	Revista de Homeopatia	B3
2318-0714	Revista de Humanidades	B4
1130-5029	Revista de Humanidades (Uned - Sevilla)	A3
1414-042x	Revista de Humanidades (Unifor)	B4
2238-3948	Revista de Humanidades, Tecnologia e Cultura - Rehutec	B3
0034-8341	Revista de Indias	A1
1982-3967	Revista de Informação Contábil (Ufpe)	B3
0034-835x	Revista de Informação Legislativa	A2
1909-9991	Revista de Ingeniería Biomédica	B4
0718-5073	Revista de Ingeniería de Construcción (En Línea)	B2
2525-4332	Revista de Iniciação À Docência	B4
2317-4323	Revista de Iniciação Científica da Ulbra	B4
2238-5266	Revista de Iniciação Científica da Universidade Vale do Rio Verde	B3
2318-9452	Revista de Iniciação Científica em Relações Internacionais	B2
2179-2895	Revista de Inovação Tecnológica	B3
2594-4673	Revista de Investigação e Divulgação em Educação Matemática	A4
0798-0329	Revista de Investigación (Caracas)	B4
2145-6097	Revista de Investigación Agraria y Ambiental	B1
2145-6453	Revista de Investigación Agraria y Ambiental (Online)	B1
2174-5218	Revista de Investigación En Logopedia	B1
0325-6375	Revista de Investigación y Desarrollo Pesquero	B3
0252-1962	Revista de Investigaciones Marinas	B4
2255-5986	Revista de Investigaciones Políticas y Sociológicas	A4
1682-3419	Revista de Investigaciones Veterinarias Del Perú	B3
2359-5639	Revista de Investigações Constitucionais	A1
2238-8281	Revista de Italianística	B1
1515-1786	Revista de La Asociación Argentina de Ortopedia y Traumatología	B4
1852-7434	Revista de La Asociación Argentina de Ortopedia y Traumatología	B4
1988-7302	Revista de La Asociación de Sociología de La Educación	A4
2341-2690	Revista de La Asociación Española de Investigación de La Comunicación	A3
0004-4822	Revista de La Asociación Geológica Argentina	B2
1853-6484	Revista de La Carrera de Sociología. Entramados y Perspectivas	B4
0718-915x	Revista de La Construcción	A3
1578-7680	Revista de La Educacion a Distancia	A3
1851-6297	Revista de La Escuela de Ciencias de La Educación	A4
1853-9777	Revista de La Escuela de Perfeccionamiento En Investigación Operativa	B3
2477-9407	Revista de La Facultad de Agronomia	B4
0378-7818	Revista de La Facultad de Agronomía	B4
0326-6184	Revista de La Facultad de Agronomía. Universidad Nacional de La Pampa	B2
0121-3814	Revista de La Facultad de Ciencia y Tecnologia	A2
0370-4661	Revista de La Facultad de Ciencias Agrarias	A4
1853-8665	Revista de La Facultad de Ciencias Agrarias Uncuyo	A4
2301-0665	Revista de La Facultad de Derecho	B3
0120-3886	Revista de La Facultad de Derecho y Ciencias Politicas	B1
0120-0011	Revista de La Facultad de Medicina	B2
1667-4243	Revista de La Facultad de Odontología	B4
0120-386x	Revista de La Facultad Nacional de Salud Publica	B2
1514-9765	Revista de La Fundación Juan José Carraro	B4
2072-7976	Revista de La Maestría En Derecho Procesal	B4
1578-7303	Revista de La Real Academia de Ciencias Exactas, Físicas y Naturales. Serie A, Matemáticas (Ed. B1
1579-1505	Revista de La Real Academia de Ciencias Exactas, Físicas y Naturales. Serie A. Matemáticas (Online)	B1
2250-7264	Revista de La Red Intercátedras de Historia de América Latina Contemporánea	B2
2304-7887	Revista de La Secretaría Del Tribunal Permanente de Revisión	B2
0373-5680	Revista de La Sociedad Entomológica Argentina	B4
1810-634x	Revista de La Sociedad Química Del Perú	B3
1315-2556	Revista de La Sociedad Venezolana de Microbiología	B4
0041-6932	Revista de La Unión Matemática Argentina (1968)	B3
0120-6877	Revista de La Universidad de La Salle	A3
0121-0807	Revista de La Universidad Industrial de Santander. Salud	B3
2179-5282	Revista de Letras	A4
2527-1024	Revista de Letras - Juçara	B2
0101-8051	Revista de Letras (Fortaleza)	B1
1982-842x	Revista de Letras (Taguatinga)	B1
2358-4793	Revista de Letras (Ufc)	B1
1981-7886	Revista de Letras (Unesp. Online)	B4
1983-8018	Revista de Letras Norte@Mentos	A4
1983-1498	Revista de Literatura, História e Memória	B1
2178-0382	Revista de Logística da Fatec-Carapicuíba	B4
0214-4603	Revista de Logopedia, Foniatría y Audiología (Ed. Impresa)	B2
1808-0626	Revista de Magistro de Filosofia	B4
2238-5339	Revista de Medicina e Saúde de Brasília	B4
0034-8570	Revista de Metalurgia	B1
2446-8622	Revista de Micro e Pequenas Empresas e Empreendedorismo da Fatec Osasco	B2
2182-7214	Revista de Morfologia Urbana	B1
1980-4431	Revista de Negócios (Online)	A4
1678-9865	Revista de Nutrição	B1
0103-1627	Revista de Nutrição da Puccamp	B1
1808-8120	Revista de Odontologia da Unicid	B4
0103-0663	Revista de Odontologia da Universidade de São Paulo	B2
2446-6492	Revista de Patologia do Tocantins	B3
1988-7221	Revista de Paz y Conflictos	A2
0719-8019	Revista de Pedagogia Crítica Paulo Freire	B2
2527-0974	Revista de Pedagogia Social	B4
2526-3560	Revista de Pesquisa Interdisciplinar	B3
2175-5361	Revista de Pesquisa: Cuidado e Fundamental (Online)	B1
1583-4433	Revista de Pielarie Incaltaminte (Leather and Footwear Journal)	B1
1413-4969	Revista de Politica Agricola	B2
2317-224x	Revista de Política Agrícola	B2
2178-2865	Revista de Politicas Públicas da Ufma	A1
1678-4057	Revista de Políticas Públicas e Gestão Governamental	B4
0100-1981	Revista de Processo	B1
2238-8044	Revista de Produção Discente em Educação Matemática	B4
2316-8080	Revista de Propriedade Intelectual - Direito Contemporâneo e Constituição	B4
2224-4697	Revista de Protección Vegetal	B4
1413-4438	Revista de Psicanálise da Sociedade Psicanalítica de Porto Alegre	B1
0034-8740	Revista de Psicoanálisis	A4
0719-0581	Revista de Psicología	A4
0254-9247	Revista de Psicología (Lima)	A2
0716-8039	Revista de Psicología (Santiago)	A4
2179-1740	Revista de Psicologia (Ufc)	A4
1980-6906	Revista de Psicologia : Teoria e Prática (Online)	A2
2182-8008	Revista de Psicologia da Criança e do Adolescente	B4
2175-5027	Revista de Psicologia da Imed	B2
1984-9044	Revista de Psicologia da Unesp	B3
2386-2300	Revista de Psicología de La Salud	A1
1132-239x	Revista de Psicología Del Deporte	B1
1576-5962	Revista de Psicología Del Trabajo y de Las Organizaciones (1999)	A2
2145-6569	Revista de Psicologia Gepu	B3
2175-1390	Revista de Psicologia Política	A4
2385-4804	Revista de Química e Industria Textil	B4
0370-694x	Revista de Química Industrial	B3
1909-3063	Revista de Relaciones Internacionales, Estrategia y Seguridad	A2
1130-4235	Revista de Reserca Humanística I Científica	B3
1577-9572	Revista de Salud Ambiental	B4
1677-7522	Revista de Saúde Coletiva da Uefs	B4
2525-9563	Revista de Saúde Digital e Tecnologias Educacionais	B2
2318-7700	Revista de Saúde Dom Alberto	B3
1518-8787	Revista de Saúde Pública (Online)	A3
0104-4478	Revista de Sociologia e Política (Ufpr. Impresso)	A1
2237-3713	Revista de Tecnologia Aplicada	B1
2237-5112	Revista de Tecnologia da Informação e Comunicação	B4
1413-8131	Revista de Tecnologia e Ambiente	B3
1133-0953	Revista de Teledetección	B2
1679-5393	Revista de Teologia e Ciências da Religião da Unicap	B4
2175-5892	Revista de Teoria da História	A3
1415-9104	Revista de Terapia Ocupacional da Universidade de São Paulo	B3
2357-8211	Revista de Turismo Contemporâneo	B3
2236-479x	Revista Debates	A4
2447-6099	Revista Debates em Ensino de Química	A3
2595-2803	Revista Debates Insubmissos	B4
1853-211x	Revista Debates Latinoamericanos	B4
2318-2229	Revista Decifrar	B1
2447-9365	Revista Defesa e Segurança	B4
2081-1160	Revista Del Cesla	A2
1641-4713	Revista Del Cesla	A2
1315-2378	Revista Del Clad Reforma y Democracia	A3
2412-0715	Revista Del Colégio Interamericano de Defensa (Impresso)	B3
1853-1393	Revista Del Instituto de Investigaciones En Educación	B4
1514-5158	Revista Del Museo Argentino de Ciencias Naturales (1999)	B4
1852-060x	Revista Del Museo de Antropologia	A3
0122-9893	Revista Derecho Del Estado	B3
2301-1009	Revista Derecho Del Trabajo	B4
2175-3180	Revista Desassossego	A4
1677-9797	Revista Desempenho	B1
1807-2062	Revista Desenbahia	B4
1678-4855	Revista Desenvolvimento em Questão	A4
1982-8608	Revista Desenvolvimento Social	B4
2359-5868	Revista Despierta	B2
2526-0405	Revista Desvio	B4
2317-2010	Revista Dialectus	B1
2317-1391	Revista Dialética	B4
2316-1795	Revista Diálogo Das Letras	B3
1981-416x	Revista Diálogo Educacional	A2
2319-0825	Revista Diálogos (Revdia)	A3
2594-6978	Revista Diálogos e Contrapontos: Estudos Interdisciplinares	B4
2317-3793	Revista Diálogos Interdisciplinares	A4
2237-6585	Revista Diálogos Mediterrânicos	A3
1677-8898	Revista Diálogos: Pesquisa e Extensão Universitária	B4
2446-7413	Revista Diaphonía	B4
1809-3108	Revista Didática Sistêmica	B3
1982-310x	Revista Digital Constituição e Garantia de Direitos (Ufrn)	B4
1678-765x	Revista Digital de Biblioteconomia e Ciência da Informação	A3
2145-2946	Revista Digital de Derecho Administrativo	A3
2319-0558	Revista Digital de Direito Administrativo	B3
2448-0657	Revista Digital de Ensino de Filosofia	B2
2223-2516	Revista Digital de Investigación En Docencia Universitaria (Ridu)	B1
2007-1965	Revista Digital de Investigación Lasaliana	B2
2595-6493	Revista Digital de Música Sacra Brasileira	B4
2175-2176	Revista Digital do Instituto Dos Advogados Brasileiros - Iab	B4
2317-2738	Revista Digital do Instituto Latino-Americano de Arte, Cultura e História- Unila	B3
1983-7348	Revista Digital do Lav	B1
1607-6079	Revista Digital Universitaria	B1
2313-9676	Revista Digital: Artes, Letras y Humanidades	A3
2316-8218	Revista Direito Ambiental e Sociedade ( Ucs)	B1
2179-8966	Revista Direito e Práxis	A1
1806-910x	Revista Direito Empresarial (Curitiba)	B1
2317-6172	Revista Direito Gv (Online)	A1
2317-2622	Revista Direito Mackenzie	B1
2447-2336	Revista Direito Ufms	B2
1982-0496	Revista Direitos Fundamentais & Democracia (Unibrasil)	A1
2317-5389	Revista Direitos Humanos e Democracia	A4
2318-5732	Revista Direitos Sociais e Políticas Públicas - Unifafibe	B1
2527-0524	Revista Discente Ofícios de Clio	B4
2237-7247	Revista Discursos Contemporâneos em Estudo	B3
2359-2192	Revista Dissol - Discurso, Sociedade e Linguagem	A4
2358-8853	Revista Diversidade e Educação	B3
0101-7497	Revista do Advogado	B4
2447-908x	Revista do Arquivo	B4
1983-6031	Revista do Arquivo Geral da Cidade do Rio de Janeiro	B3
2527-2136	Revista do Arquivo Público do Estado do Espírito Santo	B4
1415-0344	Revista do Caap	B4
1415-2061	Revista do Ccei	B4
1676-515x	Revista do Centro de Estudos Portugueses (Ufmg)	B1
2317-1480	Revista do Centro de Estudos Rurais (Ruris)	B3
2448-2773	Revista do Centro de Pesquisa e Formação	B2
0103-3093	Revista do Cepa	B2
0100-6991	Revista do Colégio Brasileiro de Cirurgiões (Impresso)	B2
2358-3169	Revista do Colóquio de Arte e Pesquisa do Ppga-Ufes	B3
0103-5827	Revista do Couro	B4
2594-6374	Revista do Curso de Direito da Universidade Braz Cubas (Online)	B4
2236-7632	Revista do Curso de Direito do Unifor	B4
0102-4582	Revista do Departamento de Geografia (Usp)	A4
1982-9957	Revista do Direito (Santa Cruz do Sul. Online)	A3
1980-511x	Revista do Direito Público (Londrina)	B1
2317-3815	Revista do Edicc	B3
0101-7284	Revista do Exército Brasileiro	B4
0101-7184	Revista do Exército Brasileiro	B4
1984-591x	Revista do Gel	A3
1517-7874	Revista do Gelne	A2
1517-1957	Revista do Ibrac	B3
0103-1945	Revista do Instituto Arqueológico, Histórico e Geográfico Pernambucano	B4
1677-1419	Revista do Instituto Brasileiro de Direitos Humanos	B4
2595-2153	Revista do Instituto Brasileiro de Segurança Pública (Ribsp)	B4
0122-0799	Revista do Instituto Colombiano de Derecho Tributario	B4
0104-1894	Revista do Instituto de Ciencias da Saude (Unip)	B4
2316-901x	Revista do Instituto de Estudos Brasileiros	A1
1678-1864	Revista do Instituto de Hermenêutica Jurídica	A3
1678-9946	Revista do Instituto de Medicina Tropical de São Paulo	B1
2447-780x	Revista do Instituto de Políticas Públicas de Marília	B4
0100-3585	Revista do Instituto do Ceará	B4
2237-9657	Revista do Instituto Geogebra Internacional de São Paulo	A3
1516-344x	Revista do Instituto Geográphico e Histórico da Bahia	B4
0100-929x	Revista do Instituto Geológico	B2
2526-1347	Revista do Instituto Histórico e Geográfico Brasileiro	A2
1677-0897	Revista do Instituto Histórico e Geográfico de Mato Grosso	B2
0103-9482	Revista do Instituto Histórico e Geográfico de Piracicaba	B4
0100-2953	Revista do Instituto Histórico e Geográfico de São Paulo	B2
1981-7347	Revista do Instituto Histórico e Geográfico de Sergipe	A4
2359-0831	Revista do Instituto Histórico e Geográfico do Pará	B1
1519-5678	Revista do Instituto Histórico e Geográfico do Rio de Janeiro	B4
1678-3484	Revista do Instituto Histórico e Geográfico do Rio Grande do Sul	B1
0101-4366	Revista do Instituto Histórico e Geographico Brazileiro	A2
1679-4540	Revista do Isat	B1
2236-9155	Revista do Isat	B1
2595-6957	Revista do Legislativo Paranaense	B3
2359-5973	Revista do Lhiste	B4
1809-1873	Revista do Mestrado em Direito (Ufal)	B3
1980-8860	Revista do Mestrado em Direito Ucb	B1
2317-9082	Revista do Mestrado Profissional Gestão em Organizações Aprendentes	B4
1677-1060	Revista do Ministério Público do Estado do Maranhão	B4
2448-1750	Revista do Museu de Arqueologia e Etnologia	B4
2317-1332	Revista do Nesef	B2
2179-7137	Revista do Núcleo de Estudos e Pesquisas em Gênero & Direito (Ufpb)	A4
2175-2591	Revista do Nufen	B2
0102-2571	Revista do Patrimônio Histórico e Artístico Nacional	B2
0102-4981	Revista do Professor de Matemática	B3
2176-1841	Revista do Programa de Pós Graduação em Estudos Literários	B1
2236-5850	Revista do Programa de Pós-Graduação em Direito da Universidade Federal da Bahia	B2
1983-3873	Revista do Sell	A2
2526-9070	Revista do Seminário Mídias & Educação (Online)	B4
0034-9240	Revista do Serviço Público	A4
1806-3497	Revista do Tre-Rs	B4
0103-1090	Revista do Tribunal de Contas da Uniao	B4
0102-1052	Revista do Tribunal de Contas do Estado de Minas Gerais	B3
0101-7160	Revista do Tribunal de Contas do Estado do Paraná	B4
0103-7978	Revista do Tribunal Superior do Trabalho	B4
2184-206x	Revista Dobra	B3
2237-5864	Revista Docência do Ensino Superior	B2
2594-9004	Revista Docência e Cibercultura	B4
2526-4923	Revista Docentes	A4
2594-8601	Revista Docomomo Brasil	B4
2220-2692	Revista Dominicana de Economía	B4
1806-0013	Revista Dor	A3
2317-6393	Revista Dor	A3
0102-7212	Revista Dos Transportes Públicos	B4
0034-9275	Revista Dos Tribunais (São Paulo. Impresso)	B1
1415-630x	Revista Dos Tribunais. Cadernos de Direito Constitucional e Ciência Política	B4
1415-6296	Revista Dos Tribunais. Cadernos de Direito Tributário e Finanças Públicas	B4
2318-4922	Revista E-Ciência	B4
1984-6606	Revista Economia & Gestão	A4
1390-7921	Revista Economía y Política	B3
0100-4956	Revista Econômica do Nordeste	A4
2357-9226	Revista Econômica do Nordeste	A4
2316-2600	Revista Ecopolítica	B3
2175-8689	Revista Eco-Pós (Online)	A2
1806-0331	Revista Ecos (Cáceres)	A2
1809-3876	Revista E-Curriculum (Pucsp)	A2
2176-171x	Revista Edapeci: Educação a Distância e Práticas Educativas Comunicacionais e Interculturais	B4
2236-5753	Revista Edicic	B4
2358-4521	Revista Educ- Faculdade de Duque de Caxias	B4
2007-1930	Revista Educ@Rnos	B2
2177-2185	Revista Educação	B4
2358-4319	Revista Educação & Emancipação	B1
2448-3583	Revista Educação & Formação	B1
2179-6122	Revista Educação & Tecnologia	B4
1980-6469	Revista Educação (Guarulhos)	B2
2237-258x	Revista Educação e Fronteiras On-Line	B2
2359-277x	Revista Educação e Linguagem	B2
2238-6084	Revista Educação e Linguagens	A3
2526-0847	Revista Educação em Debate	B3
1981-1802	Revista Educação em Questão (Online)	A2
1984-686x	Revista Educação Especial (Online)	A2
2525-5932	Revista Educação Especial em Debate	B3
2526-6276	Revista Educação Geográfica em Foco	B2
2179-7374	Revista Educação Gráfica	A3
2594-7990	Revista Educação Inclusiva	B4
1984-6290	Revista Educação Pública (Rio de Janeiro)	B4
2238-2097	Revista Educação Pública da Ufmt	A2
1984-3178	Revista Educação, Artes e Inclusão	B2
1983-0173	Revista Educação, Meio Ambiente e Saúde	B4
2594-5343	Revista Educação, Psicologia e Interfaces	B4
0798-1228	Revista Educación Superior y Sociedad	B2
2011-5318	Revista Educación y Desarrollo Social	B2
2445-4109	Revista Educación, Política y Sociedad	B2
1983-3423	Revista Educamazônia - Educação Sociedade e Meio Ambiente	B3
1983-2664	Revista Educaonline	B2
2237-9185	Revista Educar Mais (Online)	B1
2178-5236	Revista Educativa	B1
1794-1237	Revista Eia	B3
2238-9504	Revista Eixo	B3
2238-5630	Revista Eixo	B3
2316-4417	Revista Eja em Debate	B3
2362-5813	Revista El Taco En La Brea	A3
2182-9845	Revista Electrónica de Direito	B2
2310-0036	Revista Electrónica de Investigação e Desenvolvimento	A4
1607-4041	Revista Electrónica de Investigación Educativa	A1
1850-6666	Revista Electrónica de Investigación En Educación En Ciencias (En Línea)	A2
1989-2446	Revista Electrónica de Investigación y Docencia	A4
1870-8420	Revista Electrónica de Psicología Iztacala	B3
1669-3582	Revista Electrónica de Psicología Política (En Línea)	B3
1695-7504	Revista Electrónica de Veterinaria	B4
1696-4713	Revista Electrónica Iberoamericana Sobre Calidad, Eficacia y Cambio En Educación	B1
1575-0965	Revista Electrónica Interuniversitaria de Formación Del Profesorado	A4
2178-2091	Revista Eletrônica Acervo Saúde	B2
1981-4127	Revista Eletrônica Ambiente: Gestão e Desenvolvimento	B3
1984-4735	Revista Eletrônica Arma da Crítica	B4
2595-5888	Revista Eletrônica Casa de Makunaima	B3
2448-0479	Revista Eletrônica Científica da Uergs	B1
2358-7083	Revista Eletrônica Científica do Cra-Pr	B1
2447-0783	Revista Eletrônica Científica Ensino Interdisciplinar	A4
2448-0452	Revista Eletrônica Competências Digitais Para Agricultura Familiar (Recodaf)	B2
2176-6231	Revista Eletrônica Comtempo	B4
2177-8256	Revista Eletrônica da Academia Brasileira de Direito Constitucional	B1
1679-1061	Revista Eletrônica da Anphlac	A3
1808-2653	Revista Eletrônica da Associação Dos Geógrafos Brasileiros, Seção Três Lagoas	B4
2595-4598	Revista Eletrônica da Esa/Rs	B4
1983-4225	Revista Eletrônica da Faculdade de Direito de Franca	B4
1981-0377	Revista Eletrônica da Faculdade Metodista Granbery	B4
2594-4479	Revista Eletrônica de Administração da Universidade Santa Úrsula	B4
2236-451x	Revista Eletrônica de Ciência Política	A3
2175-7283	Revista Eletrônica de Ciências Sociais	B4
1678-8729	Revista Eletrônica de Direito do Centro Universitário Newton Paiva	B1
1982-7636	Revista Eletrônica de Direito Processual	B1
1982-7199	Revista Eletrônica de Educação (São Carlos)	A2
2236-8779	Revista Eletrônica de Educação da Faculdade Araguaia - Renefara	B4
1518-1944	Revista Eletrônica de Enfermagem	B1
1984-3372	Revista Eletrônica de Estratégia e Negócios	A3
1980-8372	Revista Eletrônica de Estudos Hegelianos	B1
2316-6223	Revista Eletrônica de Estudos Jurídicos e da Sociedade	B4
2317-563x	Revista Eletrônica de Gestão e Tecnologias Ambientais	B2
2179-474x	Revista Eletrônica de Inciação Científica Tecnológica e Artística	B1
1809-8797	Revista Eletrônica de Materiais e Processos (Ufcg)	B4
2238-2216	Revista Eletrônica de Pesquisa da Unirp - Universitas	B3
1984-557x	Revista Eletrônica de Potência	A4
1677-3071	Revista Eletrônica de Sistemas de Informação (Resi)	B3
2237-0072	Revista Eletrônica de Sistemas de Informação e Gestão Tecnológica	B3
2236-2150	Revista Eletrônica Debates em Educação Científica e Tecnológica	A4
1980-7791	Revista Eletrônica Direito e Política	A4
2317-6989	Revista Eletrônica Discente História.Com	B2
1981-3694	Revista Eletrônica do Curso de Direito da Ufsm	A1
2446-9513	Revista Eletrônica do Departamento de Ciências Contábeis & Departamento de Atuária e Métodos B2
1678-3182	Revista Eletrônica do Instituto de Humanidades	B3
1517-1256	Revista Eletrônica do Mestrado em Educação Ambiental	A4
2316-6681	Revista Eletrônica do Mestrado Profissional em Engenharia de Petróleo e Gás da Universidade B4
2176-5804	Revista Eletrônica Documento/Monumento	B3
2236-1170	Revista Eletrônica em Gestão, Educação e Tecnologia Ambiental Reget-Ct/Ufsm	A4
1983-1617	Revista Eletrônica Estácio Saúde	B4
1984-0519	Revista Eletrônica Frontistés	B4
1982-4785	Revista Eletrônica Gestão & Saúde	B3
2177-7284	Revista Eletrônica Gestão e Serviços	B1
1981-2434	Revista Eletrônica História em Reflexão (Ufgd)	A3
2594-7664	Revista Eletrônica Interações Sociais	B4
2237-8588	Revista Eletrônica Judicare	B4
2527-2624	Revista Eletrônica Ludus Scientiae	A3
2178-9568	Revista Eletrônica Machado Sobrinho	B3
1984-4204	Revista Eletrônica Mestrado em Administração	B1
2316-2317	Revista Eletrônica Multidisciplinar Facear	B4
2178-7018	Revista Eletrônica Mutações	B3
2237-4779	Revista Eletrônica Organizações e Sociedade	B3
2178-3039	Revista Eletrônica Pedagogia em Foco (Iturama - Mg)	A3
2177-7748	Revista Eletrônica Saberes da Educação	B4
2316-7297	Revista Eletrônica Sala de Aula em Foco	B4
2238-1910	Revista Eletrônica Scientia Amazônia	B4
9729-6465	Revista Elo	B4
2447-7648	Revista em Gestão, Inovação e Sustentabilidade	B4
2595-5543	Revista Empreenda Unitoledo	B4
2595-1963	Revista Empreerder e Inovar	B4
2359-6082	Revista Emrede - Revista de Educação À Distância	B4
2177-160x	Revista Enbornal	B4
1983-828x	Revista Encontros de Vista	B3
2526-6578	Revista Encontros Universitários da Ufc	B4
1692-5858	Revista Encuentros	A2
2317-3378	Revista Enfermagem Contemporânea	B3
0104-3552	Revista Enfermagem Uerj	A4
1998-5487	Revista Enfermería Herediana	B4
1678-1813	Revista Enfoques (Rio de Janeiro)	A4
2236-4757	Revista Engrenagem	B2
2316-2341	Revista Eniac Pesquisa	B2
2177-4994	Revista Ensaios Filosóficos	B3
2179-4510	Revista Ensino de Geografia	B1
2594-9616	Revista Ensino de Geografia (Recife)	A4
2317-1219	Revista Entreideias: Educação, Cultura e Sociedade	B1
2178-9479	Revista Entreletras	B3
2179-3948	Revista Entreletras (Araguaína: Uft)	B3
2447-3529	Revista Entrelínguas	A3
2176-9559	Revista Entre-Lugar	A3
2595-3753	Revista Entrerios	B4
2527-080x	Revista Épicas	B1
2318-8855	Revista Epígrafe	B4
2236-2649	Revista Episteme Transversalis	A4
2526-7655	Revista Epistemologias do Sul	B4
2178-700x	Revista Epos (Eletrônica)	B2
2182-7591	Revista E-Psi	B2
2317-3491	Revista Equador (Ufpi)	A4
2446-5674	Revista Equatorial - Revista Dos Alunos do Programa de Pós-Graduação em Antropologia Social	B3
2357-7509	Revista Escola de Negócios	B4
1679-6888	Revista Escrita (Pucrj. Online)	B3
2359-0238	Revista Escrita da História	A4
2177-6288	Revista E-Scrita: Revista do Curso de Letras da Uniabeu	A3
2316-7122	Revista Esferas	B1
2177-0360	Revista Esmat	B3
2177-0260	Revista Esmat	B3
2447-9896	Revista Esmat (On Line)	B3
2236-1367	Revista Espaço Aberto	A2
1519-6186	Revista Espaço Acadêmico (Uem)	A4
1981-3007	Revista Espaço Ciência & Saúde (Unicruz)	B3
1983-1579	Revista Espaço do Currículo (Online)	A4
2238-0302	Revista Espaço Pedagógico	A4
2595-5535	Revista Espaço Público	B4
1885-5857	Revista Española de Cardiología (Internet. English Ed.)	A4
1130-0558	Revista Española de Cirugía Oral y Maxilofacial	B3
1137-8875	Revista Española de Desarrollo y Cooperación	B1
0210-0614	Revista Española de Documentación Científica	A3
1130-0108	Revista Española de Enfermedades Digestivas	B2
1575-1198	Revista Espanola de Estudios Agrosociales y Pesqueros	B3
0211-139x	Revista Española de Geriatría y Gerontología (Ed. Impresa)	B2
2173-1292	Revista Española de Nutrición Humana y Dietética (Actividad Dietética)	B3
1575-0620	Revista Española de Sanidad Penitenciaria	B1
1578-2824	Revista Espanola de Sociologia	B1
2317-0611	Revista Espinhaço	B2
2594-9721	Revista Espirales	B4
1983-1595	Revista Estácio Papirus (Fessc)	B4
2413-8274	Revista Estado y Políticas Públicas	A2
2310-550x	Revista Estado y Políticas Públicas	A2
2238-362x	Revista Estética e Semiótica	B2
1019-4355	Revista Estomatológica Herediana	B2
2183-4075	Revista Estranhar Pessoa	B1
2526-9526	Revista Estratégia e Desenvolvimento	B4
2526-2432	Revista Estrutura	B3
1405-9436	Revista Estudios de Genero La Ventana	B2
0719-6296	Revista Estudios de Políticas Públicas	B3
2448-3389	Revista Estudos Anglo-Americanos	B1
2525-703x	Revista Estudos Aplicados em Educação	B2
2182-7044	Revista Estudos de Jornalismo	B2
2595-9018	Revista Estudos de Planejamento	B4
2594-7559	Revista Estudos e Pesquisas em Administração	B4
2177-2967	Revista Estudos Filosóficos	B4
2177-1006	Revista Estudos Hum(E)Anos	B3
2447-5467	Revista Estudos Institucionais	B1
2177-2851	Revista Estudos Políticos	A4
2177-5788	Revista Estudos Universitários	B2
1665-2703	Revista Etnobiología	A3
1697-011x	Revista Eureka Sobre Enseñanza y Divulgación de Las Ciencias	A1
2387-1555	Revista Euroamericana de Antropologia	B1
2362-583x	Revista Eurolatinoamericana de Derecho Administrativo	B3
2174-0135	Revista Europea de Historia de Las Ideas Políticas y de Las Instituciones Públicas	B3
2236-3165	Revista Eventos Pedagógicos	B2
2318-1001	Revista Evidenciação Contábil & Finanças	A3
2237-9460	Revista Exitus.	A4
1676-045x	Revista Expectativa (Impresso)	B2
2237-8782	Revista Expressão Católica	B3
2357-8483	Revista Expressão Católica (Online)	B3
2236-6784	Revista Extensão	B4
2319-0566	Revista Extensão & Cidadania	B3
2178-6054	Revista Extensão e Sociedade	B4
2316-400x	Revista Extensão em Ação	B2
2317-9791	Revista Extensão em Foco	B3
2236-3467	Revista Extraprensa	B2
0874-6885	Revista Faces de Eva. Estudos Sobre a Mulher	A3
2238-8524	Revista Facisa On-Line	B1
2526-2629	Revista Facthus de Administração e Gestão	B4
1519-5104	Revista Faculdade de Direito Pucsp	B4
0121-6805	Revista Facultad de Ciencias Económicas: Investigación y Reflexión	B1
0120-6230	Revista Facultad de Ingeniería Universidad de Antioquia	B3
0304-2847	Revista Facultad Nacional de Agronomia	B3
2178-7476	Revista Faed - Unemat	B2
0104-7043	Revista Faeeba	A2
1980-3729	Revista Famecos (Online)	A2
2318-8413	Revista Família, Ciclos de Vida e Saúde no Contexto Social	B1
1807-9660	Revista Farol	B4
2358-9817	Revista Fatec Sebrae em Debate: Gestão, Tecnologias e Negócios	B3
2317-2932	Revista Feminismos	A4
2236-000x	Revista Feol	B3
2236-2037	Revista Fevereiro - Política, Teoria, Cultura	B2
2177-1383	Revista Fides	B1
2176-9419	Revista Filologia e Linguística Portuguesa (Versão Eletrônica)	A2
1982-6613	Revista Filosofia Capital	B3
0872-0851	Revista Filosófica de Coimbra	B1
1984-1728	Revista Filosófica São Boaventura	B4
2236-5109	Revista Focando a Extensão	B4
2447-0120	Revista Folha de Rosto	B2
2595-9778	Revista Fontes Documentais	B3
0102-8413	Revista Forense (Impresso)	B4
1678-6777	Revista Forense Eletrônica (Cd-Rom)	B4
2215-2504	Revista Forestal Mesoamericana Kuru	B1
1806-5457	Revista Formadores (Online)	B3
2526-7507	Revista Forproll	B4
2319-0795	Revista Fórum de Ciências Criminais	B4
1982-3916	Revista Fórum Identidades	A3
1518-6113	Revista Fronteira	A3
2317-2983	Revista Fsa (Faculdade Santo Agostinho) (Online)	B2
1806-6356	Revista Fsa: Periódico Científico da Faculdade Santo Agostinho (Print)	B2
2526-5628	Revista Funec Científica	B4
2526-897x	Revista Gae-Omam	B4
1132-8932	Revista Galega de Educación - Publicación de Nova Escola Galega	B1
